0.05,0.00274721,-0.00961524,0.274721,-0.961524
0.1,0.172065,-0.00661187,0.970998,-0.239086
0.15,0.36996,0.00619891,0.986325,-0.164812
0.2,0.51053,0.0159333,0.970118,-0.242635
0.25,0.635503,0.0185385,0.94943,-0.31398
0.3,0.75509,0.0143649,0.929742,-0.368212
0.35,0.869161,0.00359456,0.906392,-0.422438
0.4,0.977615,-0.0135838,0.87936,-0.476158
0.45,1.08037,-0.036976,0.848722,-0.52884
0.5,1.17738,-0.0663836,0.814661,-0.579937
0.55,1.2686,-0.101605,0.777469,-0.628921
0.6,1.35404,-0.142436,0.737535,-0.675309
0.65,1.43368,-0.188671,0.695332,-0.718688
0.7,1.50776,-0.239993,0.652601,-0.757702
0.75,1.5768,-0.295897,0.612272,-0.790647
0.8,1.64129,-0.355929,0.574737,-0.818338
0.85,1.70168,-0.419678,0.540168,-0.841557
0.9,1.75836,-0.486777,0.508578,-0.861016
0.95,1.8117,-0.556892,0.479878,-0.877335
1,1.86202,-0.629724,0.453911,-0.891047
1.05,1.90961,-0.705004,0.430487,-0.902597
1.1,1.95474,-0.782489,0.409401,-0.912355
1.15,1.99764,-0.86196,0.390445,-0.920626
1.2,2.03853,-0.94322,0.37342,-0.927662
1.25,2.07761,-1.02609,0.358137,-0.933669
1.3,2.11506,-1.11041,0.34442,-0.938816
1.35,2.15103,-1.19605,0.33211,-0.943241
1.4,2.18566,-1.28285,0.321061,-0.947058
1.45,2.21908,-1.37072,0.311143,-0.950363
1.5,2.25142,-1.45955,0.302236,-0.953233
1.55,2.28277,-1.54923,0.294237,-0.955733
1.6,2.31324,-1.6397,0.287049,-0.957916
1.65,2.34291,-1.73086,0.280589,-0.959828
1.7,2.37185,-1.82264,0.274782,-0.961507
1.75,2.40014,-1.915,0.269559,-0.962984
1.8,2.42784,-2.00787,0.26486,-0.964287
1.85,2.455,-2.10119,0.260632,-0.965438
1.9,2.48169,-2.19493,0.256826,-0.966458
1.95,2.50794,-2.28905,0.253399,-0.967362
2,2.53379,-2.3835,0.250313,-0.968165
2.05,2.5593,-2.47825,0.247533,-0.968879
2.1,2.58448,-2.57328,0.245029,-0.969516
2.15,2.60938,-2.66855,0.242772,-0.970083
2.2,2.63401,-2.76404,0.240738,-0.97059
2.25,2.65841,-2.85973,0.238905,-0.971043
2.3,2.68259,-2.95561,0.237252,-0.971448
2.35,2.70658,-3.05164,0.235761,-0.971811
2.4,2.7304,-3.14782,0.234417,-0.972136
2.45,2.75406,-3.24413,0.233205,-0.972428
2.5,2.77758,-3.34056,0.232111,-0.972689
2.55,2.80098,-3.4371,0.231125,-0.972924
2.6,2.82425,-3.53373,0.230235,-0.973135
2.65,2.84742,-3.63045,0.229432,-0.973325
2.7,2.8705,-3.72724,0.228708,-0.973495
2.75,2.8935,-3.82411,0.228054,-0.973648
2.8,2.91641,-3.92104,0.227464,-0.973786
2.85,2.93926,-4.01803,0.226932,-0.973911
2.9,2.96204,-4.11507,0.226451,-0.974023
2.95,2.98477,-4.21215,0.226017,-0.974123
3,3.00745,-4.30928,0.225626,-0.974214
3.05,3.03008,-4.40644,0.225273,-0.974296
3.1,3.05267,-4.50364,0.224954,-0.974369
3.15,3.07522,-4.60086,0.224666,-0.974436
3.2,3.09774,-4.69812,0.224406,-0.974496
3.25,3.12022,-4.7954,0.224171,-0.97455
3.3,3.14268,-4.8927,0.223959,-0.974598
3.35,3.16511,-4.99003,0.223768,-0.974642
3.4,3.18752,-5.08737,0.223595,-0.974682
3.45,3.20991,-5.18472,0.22344,-0.974718
3.5,3.23229,-5.28209,0.223299,-0.97475
3.55,3.25464,-5.37948,0.223172,-0.974779
3.6,3.27698,-5.47687,0.223057,-0.974805
3.65,3.29931,-5.57428,0.222953,-0.974829
3.7,3.32162,-5.6717,0.22286,-0.974851
3.75,3.34392,-5.76912,0.222775,-0.97487
3.8,3.36622,-5.86656,0.222699,-0.974887
3.85,3.3885,-5.964,0.22263,-0.974903
3.9,3.41078,-6.06145,0.222568,-0.974917
3.95,3.43304,-6.1589,0.222512,-0.97493
4,3.45531,-6.25636,0.222461,-0.974942
4.05,3.47756,-6.35382,0.222415,-0.974952
4.1,3.49981,-6.45129,0.222374,-0.974961
4.15,3.52206,-6.54876,0.222336,-0.97497
4.2,3.5443,-6.64623,0.222303,-0.974978
4.25,3.56653,-6.74371,0.222272,-0.974985
4.3,3.58877,-6.84119,0.222245,-0.974991
4.35,3.611,-6.93867,0.22222,-0.974997
4.4,3.63322,-7.03615,0.222197,-0.975002
4.45,3.65545,-7.13364,0.222177,-0.975006
4.5,3.67767,-7.23113,0.222159,-0.975011
4.55,3.69989,-7.32862,0.222142,-0.975014
4.6,3.7221,-7.42611,0.222127,-0.975018
4.65,3.74432,-7.5236,0.222114,-0.975021
4.7,3.76653,-7.6211,0.222102,-0.975024
4.75,3.78875,-7.71859,0.222091,-0.975026
4.8,3.81096,-7.81609,0.222081,-0.975028
4.85,3.83317,-7.91358,0.222072,-0.97503
4.9,3.85538,-8.01108,0.222063,-0.975032
4.95,3.87758,-8.10858,0.222056,-0.975034
